Date,Adj Close,cash-rate
2020-02-19,0.6696,0.75
2020-02-20,0.6684,0.75
2020-02-21,0.66138,0.75
2020-02-24,0.66069,0.75
2020-02-25,0.661201,0.75
2020-02-26,0.66052,0.75
2020-02-27,0.654652,0.75
2020-02-28,0.65802,0.75
2020-03-02,0.651631,0.75
2020-03-03,0.65475,0.75
2020-03-04,0.65822,0.50
2020-03-05,0.66269,0.50
2020-03-06,0.661551,0.50
2020-03-09,0.661358,0.50
2020-03-10,0.6598,0.50
2020-03-11,0.64991,0.50
2020-03-12,0.64794,0.50
2020-03-13,0.627412,0.50
2020-03-16,0.617768,0.50
2020-03-17,0.609942,0.50
2020-03-18,0.59922,0.50
2020-03-19,0.58098,0.50
2020-03-20,0.57429,0.25
2020-03-23,0.575331,0.25
2020-03-24,0.58766,0.25
2020-03-25,0.59755,0.25
2020-03-26,0.59081,0.25
2020-03-27,0.60791,0.25
2020-03-30,0.618058,0.25
2020-03-31,0.616899,0.25
2020-04-01,0.6137,0.25
2020-04-02,0.60914,0.25
2020-04-03,0.606322,0.25
2020-04-06,0.59947,0.25
2020-04-07,0.61176,0.25
2020-04-08,0.61522,0.25
2020-04-09,0.623531,0.25
2020-04-10,0.63326,#N/A
2020-04-13,0.633521,#N/A
2020-04-14,0.640111,0.25
2020-04-15,0.64343,0.25
2020-04-16,0.63089,0.25
2020-04-17,0.63586,0.25
2020-04-20,0.634019,0.25
2020-04-21,0.63457,0.25
2020-04-22,0.6294,0.25
2020-04-23,0.6299,0.25
2020-04-24,0.63768,0.25
2020-04-27,0.639754,0.25
2020-04-28,0.644912,0.25
2020-04-29,0.65027,0.25
2020-04-30,0.655501,0.25
2020-05-01,0.64955,0.25
2020-05-04,0.637682,0.25
2020-05-05,0.642612,0.25
2020-05-06,0.6436,0.25
2020-05-07,0.639076,0.25
2020-05-08,0.65033,0.25
2020-05-11,0.65371,0.25
2020-05-12,0.648466,0.25
2020-05-13,0.64553,0.25
2020-05-14,0.645494,0.25
2020-05-15,0.647124,0.25
2020-05-18,0.642579,0.25
2020-05-19,0.6526,0.25
2020-05-20,0.654009,0.25
2020-05-21,0.65923,0.25
2020-05-22,0.656689,0.25
2020-05-25,0.654579,0.25
2020-05-26,0.65474,0.25
2020-05-27,0.66467,0.25
2020-05-28,0.662081,0.25
2020-05-29,0.66335,0.25
2020-06-01,0.665978,0.25
2020-06-02,0.6786,0.25
2020-06-03,0.69142,0.25
2020-06-04,0.692905,0.25
2020-06-05,0.69399,0.25
2020-06-08,0.70024,#N/A
2020-06-09,0.702449,0.25
2020-06-10,0.6943,0.25
2020-06-11,0.69683,0.25
2020-06-12,0.683088,0.25
2020-06-15,0.682501,0.25
2020-06-16,0.69582,0.25
2020-06-17,0.689532,0.25
2020-06-18,0.68757,0.25
2020-06-19,0.685721,0.25
2020-06-22,0.682291,0.25
2020-06-23,0.69316,0.25
2020-06-24,0.69403,0.25
2020-06-25,0.685678,0.25
2020-06-26,0.688819,0.25
2020-06-29,0.686191,0.25
2020-06-30,0.687191,0.25
2020-07-01,0.6902,0.25
2020-07-02,0.691324,0.25
2020-07-03,0.69192,0.25
2020-07-06,0.69484,0.25
2020-07-07,0.6977,0.25
2020-07-08,0.694232,0.25
2020-07-09,0.69891,0.25
2020-07-10,0.695894,0.25
2020-07-13,0.695028,0.25
2020-07-14,0.694011,0.25
2020-07-15,0.6989,0.25
2020-07-16,0.700918,0.25
2020-07-17,0.6978,0.25
2020-07-20,0.7005,0.25
2020-07-21,0.702593,0.25
2020-07-22,0.71356,0.25
2020-07-23,0.714082,0.25
2020-07-24,0.71001,0.25
2020-07-27,0.709819,0.25
2020-07-28,0.7159,0.25
2020-07-29,0.716025,0.25
2020-07-30,0.71717,0.25
2020-07-31,0.720368,0.25
2020-08-03,0.714689,0.25
2020-08-04,0.711794,0.25
2020-08-05,0.71771,0.25
2020-08-06,0.71991,0.25
2020-08-07,0.7231,0.25
2020-08-10,0.715712,0.25
2020-08-11,0.7158,0.25
2020-08-12,0.71452,0.25
2020-08-13,0.716486,0.25
2020-08-14,0.71488,0.25
2020-08-17,0.719259,0.25
2020-08-18,0.721813,0.25
2020-08-19,0.725795,0.25
2020-08-20,0.718804,0.25
2020-08-21,0.720612,0.25
2020-08-24,0.716137,0.25
2020-08-25,0.71689,0.25
2020-08-26,0.719932,0.25
2020-08-27,0.724501,0.25
2020-08-28,0.72699,0.25
2020-08-31,0.7373,0.25
2020-09-01,0.7381,0.25
2020-09-02,0.737849,0.25
2020-09-03,0.733111,0.25
2020-09-04,0.725584,0.25
2020-09-07,0.728221,0.25
2020-09-08,0.7281,0.25
2020-09-09,0.72094,0.25
2020-09-10,0.72766,0.25
2020-09-11,0.7263,0.25
2020-09-14,0.728152,0.25
2020-09-15,0.7286,0.25
2020-09-16,0.729682,0.25
2020-09-17,0.72955,0.25
2020-09-18,0.73131,0.25
2020-09-21,0.729341,0.25
2020-09-22,0.723118,0.25
2020-09-23,0.717443,0.25
2020-09-24,0.7069,0.25
2020-09-25,0.705716,0.25
2020-09-28,0.704191,0.25
2020-09-29,0.70952,0.25
2020-09-30,0.71436,0.25
2020-10-01,0.716651,0.25
2020-10-02,0.718288,0.25
2020-10-05,0.717721,0.25
2020-10-06,0.719321,0.25
2020-10-07,0.71101,0.25
2020-10-08,0.71382,0.25
2020-10-09,0.7178,0.25
2020-10-12,0.72246,0.25
2020-10-13,0.721188,0.25
2020-10-14,0.71644,0.25
2020-10-15,0.714148,0.25
2020-10-16,0.70884,0.25
2020-10-19,0.7096,0.25
2020-10-20,0.705617,0.25
2020-10-21,0.705,0.25
2020-10-22,0.71056,0.25
2020-10-23,0.71261,0.25
2020-10-26,0.713201,0.25
2020-10-27,0.71171,0.25
2020-10-28,0.71231,0.25
2020-10-29,0.70552,0.25
2020-10-30,0.70376,0.25
2020-11-02,0.70082,0.25
2020-11-03,0.70537,0.25
2020-11-04,0.719683,0.10
2020-11-05,0.71805,0.10
2020-11-06,0.72627,0.10
2020-11-09,0.728672,0.10
2020-11-10,0.7282,0.10
2020-11-11,0.72817,0.10
2020-11-12,0.728428,0.10
2020-11-13,0.724019,0.10
2020-11-16,0.729081,0.10
2020-11-17,0.7321,0.10
2020-11-18,0.7296,0.10
2020-11-19,0.730199,0.10
2020-11-20,0.72691,0.10
2020-11-23,0.7317,0.10
2020-11-24,0.72982,0.10
2020-11-25,0.73667,0.10
2020-11-26,0.736485,0.10
2020-11-27,0.7358,0.10
2020-11-30,0.740028,0.10
2020-12-01,0.73568,0.10
2020-12-02,0.738089,0.10
2020-12-03,0.7418,0.10
2020-12-04,0.7439,0.10
2020-12-07,0.743157,0.10
2020-12-08,0.74176,0.10
2020-12-09,0.7411,0.10
2020-12-10,0.7435,0.10
2020-12-11,0.75244,0.10
2020-12-14,0.75511,0.10
2020-12-15,0.75392,0.10
2020-12-16,0.755561,0.10
2020-12-17,0.757,0.10
2020-12-18,0.76153,0.10
2020-12-21,0.758743,0.10
2020-12-22,0.75752,0.10
2020-12-23,0.75517,0.10
2020-12-24,0.75796,0.10
2020-12-25,0.76068,#N/A
2020-12-28,0.761191,#N/A
2020-12-29,0.758892,0.10
2020-12-30,0.76099,0.10
2020-12-31,0.768929,0.10
2021-01-01,0.770297,#N/A
2021-01-04,0.77123,0.10
2021-01-05,0.7671,0.10
2021-01-06,0.7766,0.10
2021-01-07,0.7817,0.10
2021-01-08,0.7769,0.10
2021-01-11,0.771653,0.10
2021-01-12,0.77075,0.10
2021-01-13,0.777605,0.10
2021-01-14,0.774713,0.10
2021-01-15,0.77758,0.10
